FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
04955.03*H,LL08,ADVANCED ASPHALT,PRINCETON,IL,AGL,CHI,PR,41-23-09.0000N,089-28-17.0000W,PR,,NON-NPIAS,,N,,,0,0 
11701.3*H,5MO4,ADVANCED HEALTHCARE MEDICAL CENTER,ELLINGTON,MO,ACE,NONE,PR,37-10-02.1810N,091-50-06.5370W,PU,,NON-NPIAS,,N,,,0,0 
53080.12*H,07PR,ADVANCED PUBLIC HEALTH OF ISABELA,ISABELA,PR,ASO,ATL,PR,18-29-14.0000N,067-01-40.0000W,PU,,NON-NPIAS,,N,,,0,0 
04445.*H,45IS,ADVENTIST BOLINGBROOK HOSPITAL,BOLINGBROOK,IL,AGL,CHI,PR,41-40-52.0000N,088-05-11.0000W,PR,,NON-NPIAS,,N,,,0,0 
04688.2*H,IS09,ADVENTIST GLENOAKS MEDICAL CENTER,GLENDALE HEIGHTS,IL,AGL,CHI,PR,41-54-53.1000N,088-03-21.2400W,PR,,NON-NPIAS,,N,,,0,0 
04750.1*H,1IL2,ADVENTIST HINSDALE HOSPITAL,HINSDALE,IL,AGL,NONE,PR,41-48-19.2400N,087-55-17.8900W,PR,,NON-NPIAS,,N,,,0,0 
04789.01*H,18IL,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,LA GRANGE,IL,AGL,CHI,PR,41-47-49.1800N,087-53-14.2200W,PR,,NON-NPIAS,,N,,,0,0 
01641.14*H,15CN,ADVENTIST MEDICAL CENTER HANFORD,HANFORD,CA,AWP,SFO,PR,36-19-23.8000N,119-40-02.1000W,PU,,NON-NPIAS,,N,,,0,0 
11809.51*A,MO07,ADVENTURES ALOFT,JONESBURG,MO,ACE,NONE,PR,38-52-21.1570N,091-18-00.5600W,PR,,NON-NPIAS,,N,,PAJA,2,2250 
04908.1*H,IL25,ADVOCATE BROMENN MEDICAL CENTER,NORMAL,IL,AGL,CHI,PR,40-29-47.0000N,088-59-27.0000W,PR,,NON-NPIAS,,N,,,0,0 
04518.1*H,IL77,ADVOCATE CHRIST MEDICAL CENTER,CHICAGO/OAK LAWN/,IL,AGL,CHI,PR,41-43-24.0000N,087-44-00.0000W,PR,,NON-NPIAS,,N,,,0,0 
04815.*H,02IS,ADVOCATE CONDELL MEDICAL CENTER,LIBERTYVILLE,IL,AGL,CHI,PR,42-16-28.7000N,087-57-26.2000W,PR,,NON-NPIAS,,N,,,0,0 
04588.1*H,0IL4,ADVOCATE GOOD SAMARITAN HOSPITAL,DOWNERS GROVE,IL,AGL,CHI,PR,41-49-08.0000N,088-00-28.0000W,PR,,NON-NPIAS,,N,,,0,0 
04404.02*H,IL08,ADVOCATE GOOD SHEPHERD HOSPITAL,BARRINGTON,IL,AGL,CHI,PR,42-11-45.0870N,088-10-22.2880W,PR,,NON-NPIAS,,N,,,0,0 
04931.61*H,71IL,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,AGL,CHI,PR,42-02-18.3400N,087-50-53.7500W,PR,,NON-NPIAS,,N,,,0,0 
07055.06*H,24KY,AE-62,BOWLING GREEN,KY,ASO,MEM,PR,36-59-44.0500N,086-25-36.5000W,PR,,NON-NPIAS,,N,A+,,0,0 
07182.41*H,9KY2,AE-92,HARDINSBURG,KY,ASO,MEM,PR,37-45-42.8700N,086-27-09.6600W,PR,,NON-NPIAS,,N,,,0,0 
22952.02*H,TN06,AE75,DYERSBURG,TN,ASO,NONE,PR,36-02-21.0000N,089-24-57.0000W,PR,,NON-NPIAS,,N,,,0,0 
07528.45*A,08LS,AELERON,GRAND COTEAU,LA,ASW,LNM,PR,30-24-33.3000N,092-01-59.4000W,PR,,NON-NPIAS,,N,,,1,0 
21495.*A,38PA,AEREQUUS,SOLEBURY,PA,AEA,HAR,PR,40-23-25.7600N,075-00-54.3000W,PR,,NON-NPIAS,,N,,,0,0 
03928.2*A,1GA9,AERIE,MONROE,GA,ASO,ATL,PR,33-45-41.4200N,083-39-09.6150W,PR,,NON-NPIAS,,N,,,3,0 
12453.014*H,90MT,AERO,MISSOULA,MT,ANM,HLN,PR,46-57-20.2000N,114-07-37.5000W,PR,,NON-NPIAS,,N,,,0,0 
24501.6*H,9TA0,AERO,ROUND ROCK,TX,ASW,TEX,PR,30-27-54.0000N,097-39-45.2200W,PR,,NON-NPIAS,,N,100LL,,0,0 
03200.13*A,FD88,AERO ACRES,FORT PIERCE,FL,ASO,ORL,PR,27-20-31.1530N,080-31-19.1960W,PR,,NON-NPIAS,,N,,,24,0 
04461.6*A,IL51,AERO ACRES,CAMPUS,IL,AGL,CHI,PR,41-02-17.0000N,088-20-15.0000W,PR,,NON-NPIAS,,N,,,4,0 
02531.761*A,CD23,AERO BEAR FIELD,CALHAN,CO,ANM,DEN,PR,39-11-54.0000N,104-19-45.0000W,PR,,NON-NPIAS,,N,,,1,0 
11719.5*A,MU77,AERO BRITTON,FAYETTE,MO,ACE,NONE,PR,39-07-45.1100N,092-43-50.6600W,PR,,NON-NPIAS,,N,,,2,0 
24272.14*A,T31,AERO COUNTRY,MC KINNEY,TX,ASW,TEX,PU,33-12-30.4200N,096-44-30.9880W,PR,,NON-NPIAS,,N,100LL,INSTR,236,9000 
24570.02*H,44TA,AERO CRAFTER INC,PRINCETON,TX,ASW,TEX,PR,33-07-29.0000N,096-31-19.0000W,PR,,NON-NPIAS,,N,,,0,0 
27517.9*A,1WI6,AERO ESTATES,RAYMOND TOWNSHIP,WI,AGL,CHI,PR,42-50-25.0590N,088-03-50.3100W,PR,,NON-NPIAS,,N,,,1,0 
04412.*A,7IS2,AERO ESTATES,BELLEVILLE,IL,AGL,CHI,PR,38-31-28.1820N,090-03-25.0000W,PR,,NON-NPIAS,,N,,,14,0 
23902.9*A,T25,AERO ESTATES,FRANKSTON,TX,ASW,TEX,PU,32-04-54.3000N,095-27-09.0100W,PR,,NON-NPIAS,,N,,,11,2500 
17885.1*A,55OI,AERO FLIGHT CENTER,EAST PALESTINE,OH,AGL,DET,PR,40-51-31.2220N,080-32-07.2480W,PR,,NON-NPIAS,,N,,,4,0 
04494.25*A,IL58,AERO FOUR,CHANNAHON,IL,AGL,CHI,PR,41-26-10.1100N,088-14-55.2270W,PR,,NON-NPIAS,,N,,,2,0 
04674.*A,30IS,AERO LAKE ESTATES,GENOA,IL,AGL,CHI,PR,42-04-38.0930N,088-37-30.3180W,PR,,NON-NPIAS,,N,,,4,0 
05790.*A,5II9,AERO PLAINES,YOUNGSTOWN,IN,AGL,CHI,PR,39-21-10.1390N,087-22-24.0680W,PR,,NON-NPIAS,,N,,,2,0 
17194.*A,NC21,AERO PLANTATION,WEDDINGTON,NC,ASO,MEM,PR,34-59-30.5370N,080-44-54.2500W,PR,,NON-NPIAS,,N,,,12,0 
24925.01*A,43TS,AERO SAYLEE,TILDEN,TX,ASW,TEX,PR,28-28-30.4500N,098-34-50.7000W,PR,,NON-NPIAS,,N,,,0,0 
14576.12*A,NM42,AERO TECH INC,CLOVIS,NM,ASW,LNM,PR,34-24-57.0000N,103-08-52.0000W,PR,,NON-NPIAS,,N,100LLA,,3,0 
10964.*A,MN98,AERO-PLAIN,ST FRANCIS,MN,AGL,DMA,PR,45-24-40.8720N,093-23-04.8340W,PR,,NON-NPIAS,,N,,,2,0 
19558.15*A,OG30,AEROACRES,OREGON CITY,OR,ANM,SEA,PR,45-18-59.4360N,122-36-19.3280W,PR,,NON-NPIAS,,N,,,3,0 
18048.1*A,50OH,AERODROME LES NOYERS,JAMESTOWN,OH,AGL,NONE,PR,39-40-49.2700N,083-44-40.8200W,PR,,NON-NPIAS,,N,,,0,0 
13478.1*A,12N,AEROFLEX-ANDOVER,ANDOVER,NJ,AEA,HAR,PU,41-00-31.0310N,074-44-16.9220W,PU,,NON-NPIAS,,N,100LL,CHTR  INSTR  RNTL,47,24826 
04848.21*A,66IL,AEROGRANGE,MARENGO,IL,AGL,CHI,PR,42-16-09.0780N,088-34-16.3340W,PR,,NON-NPIAS,,N,,,6,0 
11272.*A,MS27,AEROHEAD,HURLEY,MS,ASO,JAN,PR,30-42-25.0000N,088-25-45.0000W,PR,,NON-NPIAS,,N,,,1,0 
25926.01*H,6VA1,AEROJET ROCKETDYNE,ORANGE,VA,AEA,DCA,PR,38-18-35.4710N,077-55-52.9860W,PR,,NON-NPIAS,,N,,,0,0 
07784.03*U,LS72,AEROLITE AERO PARK,WELSH,LA,ASW,LNM,PR,30-12-10.7460N,092-48-43.5230W,PR,,NON-NPIAS,,N,,,2,0 
09943.03*B,13M,AERONUT PARK,HOWELL,MI,AGL,DET,PU,42-36-15.0000N,083-51-31.0000W,PR,,NON-NPIAS,,N,,,1,10 
08501.51*H,2MD2,AEROSPACE TECH CENTER,COLUMBIA,MD,AEA,DCA,PR,39-14-11.3830N,076-49-33.9050W,PR,,NON-NPIAS,,N,,,0,0 
26222.03*A,03WN,AEROSTONE RANCH,GOLDENDALE,WA,ANM,SEA,PR,45-52-30.1500N,120-40-21.0000W,PR,,NON-NPIAS,,N,,,1,0 
10903.01*A,MN89,AEROVILLA,PERHAM,MN,AGL,DMA,PR,46-36-59.8540N,095-39-01.1570W,PR,,NON-NPIAS,,N,,,1,0 
18173.24*H,OA06,AFFINITY MEDICAL CENTER,MASSILLON,OH,AGL,DET,PR,40-48-21.0000N,081-30-56.0000W,PR,,NON-NPIAS,,N,,,0,0 
27732.*A,AFO,AFTON MUNI,AFTON,WY,ANM,DEN,PU,42-42-31.6000N,110-56-31.8000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR,49,8600 
12658.2*A,NE19,AG AIR,BROADWATER,NE,ACE,NONE,PR,41-35-44.9170N,102-49-01.7290W,PR,,NON-NPIAS,,N,100LL,,5,0 
07784.02*A,LS18,AG AVIATION,WELSH,LA,ASW,LNM,PR,30-13-15.7450N,092-46-29.5190W,PR,,NON-NPIAS,,N,A,,5,0 
10534.52*A,94MN,AG SPRAY INC,BARNESVILLE,MN,AGL,DMA,PR,46-34-35.8570N,096-30-43.2540W,PR,,NON-NPIAS,,N,,,1,0 
02684.11*H,45CO,AG-AIR INC,MEAD,CO,ANM,DEN,PR,40-12-19.9420N,104-58-31.9200W,PR,,NON-NPIAS,,N,A,,0,0 
15640.*A,4NK6,AG-ALLEY,MARION,NY,AEA,NYC,PR,43-09-40.0000N,077-10-39.0000W,PR,,NON-NPIAS,,N,,,3,0 
18365.02*A,51OH,AGNER,OTTAWA,OH,AGL,DET,PR,41-04-13.1830N,084-05-10.8000W,PR,,NON-NPIAS,,N,,INSTR,2,9634 
24491.4*A,XS42,AGRICULTURAL SUPPLIES,PEARSALL,TX,ASW,TEX,PR,28-55-45.8920N,099-04-49.1170W,PR,,NON-NPIAS,,N,,,3,0 
01570.751*A,5CA7,AGRO-WEST,FIVE POINTS,CA,AWP,SFO,PR,36-20-09.8260N,120-14-50.5300W,PR,,NON-NPIAS,,N,,,2,0 
01218.*A,L54,AGUA CALIENTE SPRINGS,AGUA CALIENTE SPRINGS,CA,AWP,LAX,PU,32-57-20.5000N,116-17-41.0000W,PU,,NON-NPIAS,,N,,,0,4400 
01219.*A,L70,AGUA DULCE,AGUA DULCE,CA,AWP,LAX,PU,34-30-09.2500N,118-18-52.7200W,PR,,NON-NPIAS,,N,100LL,,29,720 
09038.*H,4MA7,AHEARN,LUDLOW,MA,ANE,NONE,PR,42-11-29.3350N,072-27-00.3060W,PR,,NON-NPIAS,,N,,,0,0 
01665.*A,CL84,AHLEM FARMS,HILMAR,CA,AWP,SFO,PR,37-23-17.7720N,120-55-38.7380W,PR,,NON-NPIAS,,N,,,1,0 
11728.82*A,66MO,AHLERS ACRES,FORISTELL,MO,ACE,NONE,PR,38-50-00.4400N,090-57-05.1300W,PR,,NON-NPIAS,,N,,,1,0 
04037.6*A,85GA,AIKEN FIELD,TALMO,GA,ASO,ATL,PR,34-10-20.3820N,083-43-51.6180W,PR,,NON-NPIAS,,N,,,1,0 
22097.*A,AIK,AIKEN MUNI,AIKEN,SC,ASO,ATL,PU,33-38-57.8000N,081-41-06.1000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,47,43900 
12591.*A,ANW,AINSWORTH RGNL,AINSWORTH,NE,ACE,NONE,PU,42-34-45.2000N,099-59-34.7000W,PU,,General Aviation,,N,100LLA,AGRI,14,4000 
04112.8*A,5GA4,AIR ACRES,WOODSTOCK,GA,ASO,ATL,PR,34-06-21.3530N,084-26-54.7430W,PR,,NON-NPIAS,,N,,,25,0 
11921.01*H,MO47,AIR AMBULANCE,MEXICO,MO,ACE,NONE,PR,39-10-29.1450N,091-52-45.6120W,PR,,NON-NPIAS,,N,,,0,0 
07318.1*A,52KY,AIR CASTLE,PARIS,KY,ASO,MEM,PR,38-07-05.2780N,084-18-08.7570W,PR,,NON-NPIAS,,N,,,1,0 
26425.18*H,0WA3,AIR COLUMBIA,STEVENSON,WA,ANM,SEA,PR,45-40-57.4200N,121-54-01.2880W,PR,,NON-NPIAS,,N,,,0,0 
02713.311*A,49CO,AIR DUSTERS INC,ROGGEN,CO,ANM,DEN,PR,40-05-35.9360N,104-22-30.8350W,PR,,NON-NPIAS,,N,,,4,0 
04893.1*A,LL09,AIR ESTATES INC,MUNDELEIN,IL,AGL,CHI,PR,42-16-50.0820N,088-05-40.2860W,PR,,NON-NPIAS,,N,,,3,0 
23848.12*H,2XA8,AIR EVAC 53,FAIRFIELD,TX,ASW,TEX,PR,31-41-39.0000N,096-10-11.0000W,PR,,NON-NPIAS,,N,,,0,0 
18414.5*H,68OH,AIR EVAC 97,PORTSMOUTH,OH,AGL,DET,PR,38-44-22.3200N,082-59-16.3200W,PR,,NON-NPIAS,,N,,,0,0 
23796.03*H,56TE,AIR EVAC EMS 57 BASE,EAGLE PASS,TX,ASW,TEX,PR,28-42-48.8000N,100-27-13.9000W,PR,,NON-NPIAS,,N,,,0,0 
01191.56*H,44AR,AIR EVAC LIFETEAM 30,VILONIA,AR,ASW,AOK,PR,35-05-01.0000N,092-12-02.0000W,PR,,NON-NPIAS,,N,,,0,0 
16756.*A,W88,AIR HARBOR,GREENSBORO,NC,ASO,MEM,PU,36-10-25.0000N,079-48-11.0000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,40,3600 
20980.8*A,6PA6,AIR HAVEN,MOSCOW,PA,AEA,HAR,PR,41-21-00.3000N,075-28-58.6640W,PR,,NON-NPIAS,,N,,,2,0 
18651.23*A,2OI2,AIR JORDAN,WAYNESVILLE,OH,AGL,DET,PR,39-33-40.0000N,084-03-07.0000W,PR,,NON-NPIAS,,N,,,0,0 
07763.33*H,45LA,AIR LOGISTICS (VENICE) N,VENICE,LA,ASW,LNM,PR,29-18-06.7910N,089-22-28.1940W,PR,,NON-NPIAS,,N,,,0,0 
23904.19*H,5TS6,AIR LOGISTICS - FREEPORT,FREEPORT,TX,ASW,TEX,PR,29-04-30.8800N,095-21-37.7780W,PR,,NON-NPIAS,,N,,,0,0 
24673.313*H,95XS,AIR LOGISTICS SABINE,SABINE PASS,TX,ASW,TEX,PR,29-42-52.7880N,093-54-43.6000W,PR,,NON-NPIAS,,N,,,0,0 
07543.511*H,08LA,AIR OIL INC  NR 2,HARAHAN,LA,ASW,LNM,PR,29-57-10.7350N,090-10-57.2700W,PR,,NON-NPIAS,,N,,,3,0 
03406.20*H,2FD7,AIR ORLANDO,ORLANDO,FL,ASO,ORL,PR,28-26-08.0210N,081-28-23.2590W,PR,,NON-NPIAS,,N,A,,0,0 
05777.31*A,0IN4,AIR PARK FIELD,WOODBURN,IN,AGL,CHI,PR,41-07-40.1760N,084-56-49.8770W,PR,,NON-NPIAS,,N,,,1,0 
23710.1*A,F69,AIR PARK-DALLAS,DALLAS,TX,ASW,TEX,PU,33-01-24.4370N,096-50-13.0060W,PR,,NON-NPIAS,,N,100LL,,61,18000 
11964.*A,MU83,AIR PORT HUDSON,NEW HAVEN,MO,ACE,NONE,PR,38-30-21.0000N,091-14-55.0000W,PR,,NON-NPIAS,,N,,,0,0 
10219.11*A,4MI1,AIR RAHE,PETERSBURG,MI,AGL,DET,PR,41-49-50.1720N,083-41-14.7750W,PR,,NON-NPIAS,,N,,,4,0 
24986.28*A,60TA,AIR RANCH ESTATES,WAXAHACHIE,TX,ASW,TEX,PR,32-19-30.5100N,096-56-51.0000W,PR,,NON-NPIAS,,N,,,0,0 
13135.21*G,NV23,AIR SAILING,SPARKS,NV,AWP,PHX,PR,39-52-19.6680N,119-42-03.6810W,PR,,NON-NPIAS,,N,,,2,0 
14344.01*H,1NJ9,AIR TRACTOR,SUSSEX,NJ,AEA,HAR,PR,41-17-28.3400N,074-33-03.5760W,PR,,NON-NPIAS,,N,,,0,0 
23034.011*H,TN57,AIR TRADE CENTER,JOHNSON CITY,TN,ASO,MEM,PR,36-25-53.0000N,082-18-27.0000W,PR,,NON-NPIAS,,N,A,,0,0 
27168.2*A,WI69,AIR TROY ESTATES - RESTRICTED,EAST TROY,WI,AGL,CHI,PR,42-48-00.0530N,088-20-00.3370W,PR,,NON-NPIAS,,N,,,21,0 
25324.12*A,UT07,AIR VILLAGE STRIP,VERNAL,UT,ANM,DEN,PR,40-25-29.8560N,109-35-32.5000W,PR,,NON-NPIAS,,N,,,0,0 
02633.3*A,CO73,AIR-SPRAYERS NR 2,HARTMAN,CO,ANM,DEN,PR,38-06-00.0360N,102-13-01.6780W,PR,,NON-NPIAS,,N,,,0,0 
13380.01*H,NH19,AIR-WOOD,PLAINFIELD,NH,ANE,NONE,PR,43-32-35.2560N,072-21-08.3280W,PR,,NON-NPIAS,,N,,,0,0 
10123.*A,44MI,AIRBATCO FIELD,MULLIKEN,MI,AGL,DET,PR,42-46-25.1240N,084-53-59.9750W,PR,,NON-NPIAS,,N,,,1,940 
09971.*U,MI04,AIRBORN PARAFLITE,ITHACA,MI,AGL,DET,PR,43-18-32.5813N,084-38-38.3769W,PR,,NON-NPIAS,,N,,,0,0 
18717.81*H,19OI,AIRC HELISTOP,WINTERSVILLE,OH,AGL,DET,PR,40-22-50.9430N,080-42-19.2820W,PR,,NON-NPIAS,,N,,,0,0 
25671.11*H,7VA0,AIRDUCE,CHERITON,VA,AEA,DCA,PR,37-16-25.0000N,075-58-19.0000W,PR,,NON-NPIAS,,N,,,0,0 
11726.1*A,42MO,AIRE PARQUE,FESTUS,MO,ACE,NONE,PR,38-07-23.1930N,090-23-20.4380W,PR,,NON-NPIAS,,N,,,2,60 
07274.02*H,9KY6,AIREVAC 33,MIDDLESBORO,KY,ASO,MEM,PR,36-36-40.0000N,083-44-33.0000W,PR,,NON-NPIAS,,N,,,0,0 
12223.01*H,MO10,AIREVAC ELEVATED,WEST PLAINS,MO,ACE,NONE,PR,36-52-20.0000N,091-54-21.0000W,PR,,NON-NPIAS,,N,,,0,0 
03118.*A,2IS,AIRGLADES,CLEWISTON,FL,ASO,ORL,PU,26-44-06.6000N,081-03-03.8000W,PU,,General Aviation,,N,100LLA,AFRT  AGRI  INSTR  PAJA  RNTL  SALES,18,11527 
16246.*A,09N,AIRHAVEN,STAATSBURG,NY,AEA,NYC,PU,41-49-57.5000N,073-52-34.2000W,PR,,NON-NPIAS,,N,,,3,200 
10821.02*A,LVN,AIRLAKE,MINNEAPOLIS,MN,AGL,DMA,PU,44-37-40.3000N,093-13-41.1000W,PU,,Reliever,,N,100LLA,INSTR  RNTL  SALES,110,34174 
15049.*A,1H1,AIRLANE ENTERPRISES,CLAY,NY,AEA,NYC,PU,43-12-21.2000N,076-10-45.5000W,PR,,NON-NPIAS,,N,,,1,530 
26049.01*A,2VA9,AIRLIE,WARRENTON,VA,AEA,DCA,PR,38-45-28.4200N,077-47-13.9750W,PR,,NON-NPIAS,,N,,,0,0 
13123.07*H,50NV,AIRLIFT HELICOPTERS,RENO,NV,AWP,PHX,PR,39-37-00.9000N,119-53-45.3600W,PR,,NON-NPIAS,,N,,,8,0 
18890.*A,OK93,AIRMAN ACRES,COLLINSVILLE,OK,ASW,AOK,PR,36-20-00.3360N,095-53-00.9650W,PR,,NON-NPIAS,,N,,,30,0 
03828.3*A,0GA2,AIRNAUTIQUE- INC,HARTWELL,GA,ASO,ATL,PR,34-22-40.3750N,082-56-44.5160W,PR,,NON-NPIAS,,N,,,3,0 
23710.12*A,1F7,AIRPARK EAST,DALLAS,TX,ASW,TEX,PU,32-48-46.6000N,096-21-07.3000W,PR,,NON-NPIAS,,N,,,50,16000 
06482.12*A,20KS,AIRPARK ESTATES,AUGUSTA,KS,ACE,NONE,PR,37-40-33.0650N,096-53-07.1160W,PR,,NON-NPIAS,,N,,,3,0 
01542.31*H,CN33,AIRPORT IMPERIAL BLDG HELISTOP,EL SEGUNDO,CA,AWP,LAX,PR,33-55-49.0470N,118-23-49.2730W,PR,,NON-NPIAS,,N,,,0,0 
03424.12*A,48X,AIRPORT MANATEE,PALMETTO,FL,ASO,ORL,PU,27-38-33.3500N,082-31-11.7000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,39,7100 
01542.35*H,CL03,AIRPORT TOWERS NR 1,EL SEGUNDO,CA,AWP,LAX,PR,33-55-01.0480N,118-23-42.2740W,PR,,NON-NPIAS,,N,,,0,0 
00692.1*U,AZ79,AIRSCREW PERFORMANCE FLIGHTPARK,GLENDALE,AZ,AWP,PHX,PR,33-31-48.1480N,112-12-59.5530W,PR,,NON-NPIAS,,N,,,0,0 
16363.2*A,D93,AIRTREK,WATERLOO,NY,AEA,NYC,PU,42-51-00.2420N,076-50-58.8470W,PR,,NON-NPIAS,,N,,,2,1600 
50543.74*A,5AK3,AIRWAY,NORTH POLE,AK,AAL,NONE,PR,64-46-23.4740N,147-20-01.6880W,PR,,NON-NPIAS,,N,,,17,400 
18196.02*H,59OI,AIRWOLF,MIDDLEFIELD,OH,AGL,DET,PR,41-27-00.6600N,081-03-02.8800W,PR,,NON-NPIAS,,N,,,0,0 
27600.01*A,6WN5,AIRWOLFE,STOCKHOLM,WI,AGL,CHI,PR,44-29-59.3850N,092-11-55.8290W,PR,,NON-NPIAS,,N,,,0,0 
15478.1*A,6NY3,AIRY-ACRES,INTERLAKEN,NY,AEA,NYC,PR,42-38-38.2550N,076-43-46.8210W,PR,,NON-NPIAS,,N,,,0,0 
10505.*A,AIT,AITKIN MUNI-STEVE KURTZ FIELD,AITKIN,MN,AGL,DMA,PU,46-32-54.4630N,093-40-35.8758W,PU,,General Aviation,,N,100LL,INSTR  SALES,18,16000 
26322.11*A,OKH,AJ EISENBERG,OAK HARBOR,WA,ANM,SEA,PU,48-15-05.5000N,122-40-25.2000W,PR,,NON-NPIAS,,N,100LLMOGAS,AFRT  CARGO  CHTR  INSTR  PAJA,24,17424 
19405.31*A,OR46,AJAX,CONDON,OR,ANM,SEA,PR,45-22-59.4600N,120-28-04.1680W,PR,,NON-NPIAS,,N,,,1,0 
00728.62*H,2AN2,AK-CHIN,MARICOPA,AZ,AWP,PHX,PR,33-01-38.0000N,112-05-07.0000W,PR,,NON-NPIAS,,N,,,0,30 
00751.55*A,A39,AK-CHIN RGNL,MARICOPA,AZ,AWP,PHX,PU,32-59-25.9750N,111-55-08.0450W,PU,,General Aviation,,N,100LL,,13,18310 
50016.1*A,AKK,AKHIOK,AKHIOK,AK,AAL,NONE,PU,56-56-19.2870N,154-10-57.2000W,PU,,General Aviation,,N,,,0,1600 
50017.1*C,KKI,AKIACHAK,AKIACHAK,AK,AAL,NONE,PU,60-54-28.3130N,161-26-06.2780W,PU,,NON-NPIAS,,N,,,0,10 
50017.*A,Z13,AKIACHAK,AKIACHAK,AK,AAL,NONE,PU,60-54-49.7200N,161-29-35.9900W,PU,,Commercial Service,,N,,CARGO,0,3000 
50020.*A,AKI,AKIAK,AKIAK,AK,AAL,NONE,PU,60-54-10.4300N,161-13-50.1000W,PU,,General Aviation,,N,,CARGO,0,0 
02051.*A,54CN,AKIN,PLACERVILLE,CA,AWP,SFO,PR,38-45-14.6470N,120-53-56.7810W,PR,,NON-NPIAS,,N,,,1,0 
14647.5*A,NM73,AKIN AND AKIN,MC ALISTER,NM,ASW,LNM,PR,34-46-20.2300N,103-51-21.8790W,PR,,NON-NPIAS,,N,,,2,25 
90005.*A,CYKD,AKLAVIK,AKLAVIK,,,NONE,PU,68-13-24.0000N,135-00-00.0000W,PU,,NON-NPIAS,,N,,,0,0 
20111.5*A,PN54,AKM AIRFIELD,COLUMIA CROSS ROADS,PA,AEA,HAR,PR,41-50-30.0000N,076-44-45.0000W,PR,,NON-NPIAS,,N,,,1,0 
12893.75*A,NE38,AKNUX,PROSSER,NE,ACE,NONE,PR,40-42-34.0490N,098-33-36.2440W,PR,,NON-NPIAS,,N,,,2,0 
14787.*A,9G3,AKRON,AKRON,NY,AEA,NYC,PU,43-01-15.9464N,078-28-57.4795W,PR,,Reliever,,N,100LL,INSTR  RNTL,49,50900 
17521.02*H,88OI,AKRON CITY HOSPITAL,AKRON,OH,AGL,DET,PR,41-04-52.0000N,081-30-01.0000W,PR,,NON-NPIAS,,N,,,0,0 
17524.*A,AKR,AKRON FULTON INTL,AKRON,OH,AGL,DET,PU,41-02-15.0000N,081-28-00.9000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,96,26000 
17521.03*H,OH05,AKRON GENERAL MEDICAL CENTER,AKRON,OH,AGL,DET,PR,41-04-41.2000N,081-31-52.4210W,PR,,NON-NPIAS,,N,,,0,0 
17521.*A,CAK,AKRON-CANTON RGNL,AKRON,OH,AGL,DET,PU,40-54-54.2000N,081-26-37.1000W,PU,I B S 05/1973,Primary,Small,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,136,80528 
24812.5*A,XA68,AKROVILLE,SLIDELL,TX,ASW,TEX,PR,33-23-30.4000N,097-21-19.0700W,PR,,NON-NPIAS,,N,,,5,0 
50022.1*A,7AK,AKUTAN,AKUTAN,AK,AAL,NONE,PU,54-08-40.6000N,165-36-14.7900W,PU,,General Aviation,,N,,,0,624 
50022.*C,KQA,AKUTAN,AKUTAN,AK,AAL,NONE,PU,54-08-02.0400N,165-46-42.1800W,PU,,General Aviation,,N,,,0,102 
01379.4*A,65CL,AL DIVINE,CARUTHERS,CA,AWP,SFO,PR,36-30-51.8190N,119-45-50.4950W,PR,,NON-NPIAS,,N,,,3,0 
27659.11*A,WS74,AL'S AIRWAY,WATERTOWN,WI,AGL,CHI,PR,43-09-46.9900N,088-49-28.3700W,PR,,NON-NPIAS,,N,,,1,0 
10874.*A,MY90,AL'S DUE NORTH,NORTH BRANCH,MN,AGL,DMA,PR,45-28-55.8670N,092-59-18.7840W,PR,,NON-NPIAS,,N,MOGAS,,0,0 
25806.1*A,48VA,AL'S FIELD,GORE,VA,AEA,DCA,PR,39-17-26.3650N,078-21-03.0200W,PR,,NON-NPIAS,,N,,,0,0 
00164.18*H,AL66,ALABAMA POWER HEADQUARTERS,BIRMINGHAM,AL,ASO,JAN,PR,33-31-10.3790N,086-48-48.9640W,PR,,NON-NPIAS,,N,,,0,0 
25318.*H,UT77,ALADDIN AIR,TROPIC,UT,ANM,DEN,PR,37-41-54.0000N,112-10-57.0000W,PR,,NON-NPIAS,,N,,,0,0 
17620.9*H,OI93,ALAIMO'S,BRECKSVILLE,OH,AGL,DET,PR,41-20-24.1940N,081-36-36.4430W,PR,,NON-NPIAS,,N,,,0,0 
50024.1*A,AUK,ALAKANUK,ALAKANUK,AK,AAL,NONE,PU,62-40-59.0000N,164-43-19.9000W,PU,,Commercial Service,,N,,CARGO,0,0 
